activity_comment,n,pct
793030,3,0.01
616671,3,0.01
988041,3,0.01
616675,3,0.01
793032,3,0.01
616679,3,0.01
887453,3,0.01
616683,3,0.01
793034,3,0.01
616751,3,0.01
965039,3,0.01
616755,3,0.01
793036,3,0.01
616759,3,0.01
887697,3,0.01
616763,3,0.01
793006,3,0.01
616703,3,0.01
1062265,3,0.01
616707,3,0.01
793008,3,0.01
616711,3,0.01
887699,3,0.01
616715,3,0.01
793010,3,0.01
616783,3,0.01
965041,3,0.01
616787,3,0.01
793012,3,0.01
616791,3,0.01
887701,3,0.01
616795,3,0.01
793046,3,0.01
616735,3,0.01
988043,3,0.01
616739,3,0.01
793048,3,0.01
616743,3,0.01
887703,3,0.01
616747,3,0.01
793050,3,0.01
616815,3,0.01
963996,3,0.01
616819,3,0.01
793052,3,0.01
616823,3,0.01
887463,3,0.01
616827,3,0.01
793022,3,0.01
616767,3,0.01
1062311,3,0.01
616771,3,0.01
793024,3,0.01
616775,3,0.01
887465,3,0.01
616779,3,0.01
793026,3,0.01
616847,3,0.01
963998,3,0.01
616851,3,0.01
793028,3,0.01
616855,3,0.01
887467,3,0.01
616859,3,0.01
793062,3,0.01
616799,3,0.01
988045,3,0.01
616803,3,0.01
793064,3,0.01
616807,3,0.01
887679,3,0.01
616811,3,0.01
796352,3,0.01
616879,3,0.01
964000,3,0.01
616883,3,0.01
796354,3,0.01
616887,3,0.01
887713,3,0.01
616891,3,0.01
793038,3,0.01
616831,3,0.01
1062267,3,0.01
616835,3,0.01
793040,3,0.01
616839,3,0.01
887715,3,0.01
616843,3,0.01
793042,3,0.01
616911,3,0.01
964002,3,0.01
616915,3,0.01
793044,3,0.01
616919,3,0.01
887717,3,0.01
616923,3,0.01
796364,3,0.01
616863,3,0.01
980688,3,0.01
616867,3,0.01
796366,3,0.01
616871,3,0.01
887719,3,0.01
616875,3,0.01
796368,3,0.01
616943,3,0.01
965051,3,0.01
616947,3,0.01
796370,3,0.01
616951,3,0.01
887689,3,0.01
616955,3,0.01
793054,3,0.01
616895,3,0.01
1062297,3,0.01
616899,3,0.01
793056,3,0.01
616903,3,0.01
887691,3,0.01
616907,3,0.01
793058,3,0.01
616975,3,0.01
965053,3,0.01
616979,3,0.01
793060,3,0.01
616983,3,0.01
887693,3,0.01
616987,3,0.01
796380,3,0.01
616927,3,0.01
980690,3,0.01
616931,3,0.01
796382,3,0.01
616935,3,0.01
887695,3,0.01
616939,3,0.01
796384,3,0.01
617007,3,0.01
971737,3,0.01
617011,3,0.01
796386,3,0.01
617015,3,0.01
887729,3,0.01
617019,3,0.01
796356,3,0.01
616959,3,0.01
1062269,3,0.01
616963,3,0.01
796358,3,0.01
616967,3,0.01
887731,3,0.01
616971,3,0.01
796360,3,0.01
617039,3,0.01
971739,3,0.01
617043,3,0.01
796362,3,0.01
625154,3,0.01
887733,3,0.01
625156,3,0.01
796396,3,0.01
616991,3,0.01
980692,3,0.01
616995,3,0.01
796398,3,0.01
616999,3,0.01
887735,3,0.01
617003,3,0.01
796400,3,0.01
625166,3,0.01
964012,3,0.01
625168,3,0.01
796402,3,0.01
625170,3,0.01
887705,3,0.01
625172,3,0.01
796372,3,0.01
617023,3,0.01
1062319,3,0.01
617027,3,0.01
796374,3,0.01
617031,3,0.01
887707,3,0.01
617035,3,0.01
796376,3,0.01
625182,3,0.01
964014,3,0.01
625184,3,0.01
796378,3,0.01
625186,3,0.01
887709,3,0.01
659318,3,0.01
796412,3,0.01
625158,3,0.01
1059696,3,0.01
625160,3,0.01
796414,3,0.01
625162,3,0.01
887711,3,0.01
625164,3,0.01
796416,3,0.01
659338,3,0.01
964016,3,0.01
659342,3,0.01
796418,3,0.01
659346,3,0.01
887745,3,0.01
659350,3,0.01
796388,3,0.01
625174,3,0.01
1062271,3,0.01
625176,3,0.01
796390,3,0.01
625178,3,0.01
887747,3,0.01
625180,3,0.01
796392,3,0.01
659370,3,0.01
965033,3,0.01
659374,3,0.01
796394,3,0.01
659378,3,0.01
887749,3,0.01
659382,3,0.01
796428,3,0.01
659322,3,0.01
1059698,3,0.01
659326,3,0.01
796430,3,0.01
659330,3,0.01
887751,3,0.01
659334,3,0.01
796432,3,0.01
659402,3,0.01
971749,3,0.01
659406,3,0.01
796434,3,0.01
659410,3,0.01
887721,3,0.01
659414,3,0.01
796404,3,0.01
659354,3,0.01
1062299,3,0.01
659358,3,0.01
796406,3,0.01
659362,3,0.01
887723,3,0.01
659366,3,0.01
796408,3,0.01
659434,3,0.01
971751,3,0.01
659438,3,0.01
796410,3,0.01
659442,3,0.01
887725,3,0.01
659446,3,0.01
796444,3,0.01
659386,3,0.01
1059700,3,0.01
659390,3,0.01
796446,3,0.01
659394,3,0.01
887727,3,0.01
659398,3,0.01
796448,3,0.01
659466,3,0.01
971753,3,0.01
659470,3,0.01
796450,3,0.01
659474,3,0.01
887761,3,0.01
659478,3,0.01
796420,3,0.01
659418,3,0.01
1062241,3,0.01
659422,3,0.01
796422,3,0.01
659426,3,0.01
887763,3,0.01
659430,3,0.01
796424,3,0.01
659498,3,0.01
971755,3,0.01
659502,3,0.01
796426,3,0.01
659506,3,0.01
887765,3,0.01
659510,3,0.01
796460,3,0.01
659450,3,0.01
1059702,3,0.01
659454,3,0.01
796462,3,0.01
659458,3,0.01
887767,3,0.01
659462,3,0.01
796464,3,0.01
659530,3,0.01
965043,3,0.01
659534,3,0.01
796466,3,0.01
659538,3,0.01
887737,3,0.01
659542,3,0.01
796436,3,0.01
659482,3,0.01
1062313,3,0.01
659486,3,0.01
796438,3,0.01
659490,3,0.01
887739,3,0.01
659494,3,0.01
796440,3,0.01
659562,3,0.01
965045,3,0.01
659566,3,0.01
796442,3,0.01
659570,3,0.01
887741,3,0.01
659574,3,0.01
822054,3,0.01
659514,3,0.01
1059704,3,0.01
659518,3,0.01
822056,3,0.01
659522,3,0.01
887743,3,0.01
659526,3,0.01
822058,3,0.01
659594,3,0.01
965047,3,0.01
659598,3,0.01
822060,3,0.01
659602,3,0.01
887777,3,0.01
659606,3,0.01
796452,3,0.01
659546,3,0.01
1062243,3,0.01
659550,3,0.01
796454,3,0.01
659554,3,0.01
887779,3,0.01
659558,3,0.01
796456,3,0.01
659628,3,0.01
965049,3,0.01
659634,3,0.01
796458,3,0.01
659638,3,0.01
887781,3,0.01
659642,3,0.01
830397,3,0.01
659578,3,0.01
988031,3,0.01
659582,3,0.01
830399,3,0.01
659586,3,0.01
887783,3,0.01
659590,3,0.01
830401,3,0.01
659663,3,0.01
971765,3,0.01
659667,3,0.01
830403,3,0.01
659671,3,0.01
887753,3,0.01
659675,3,0.01
822046,3,0.01
659610,3,0.01
1062301,3,0.01
659614,3,0.01
822048,3,0.01
659618,3,0.01
887755,3,0.01
659622,3,0.01
822050,3,0.01
659695,3,0.01
971767,3,0.01
659699,3,0.01
822052,3,0.01
659703,3,0.01
887757,3,0.01
659707,3,0.01
830413,3,0.01
659647,3,0.01
988033,3,0.01
659651,3,0.01
830415,3,0.01
659655,3,0.01
887759,3,0.01
659659,3,0.01
830417,3,0.01
659727,3,0.01
971769,3,0.01
659731,3,0.01
830419,3,0.01
659735,3,0.01
887793,3,0.01
659739,3,0.01
825443,3,0.01
659679,3,0.01
1062245,3,0.01
659683,3,0.01
825447,3,0.01
659687,3,0.01
887795,3,0.01
659691,3,0.01
825451,3,0.01
659759,3,0.01
971771,3,0.01
659763,3,0.01
825455,3,0.01
659767,3,0.01
